Bloomberg ID,Actual Spread,Predicted Spread,Lower (95%),Upper (95%),Baseline (Ridge),Top Comp
BGCLO 2024-8A E,101.551,102.14,97.48,102.54,104.26,
TRNTS 2019-11A ER,71.0,77.72,78.86,98.72,87.9,TRNTS 2021-17A E
NEUB 2017-16SA ER2,99.235,99.07,97.1,100.95,99.1,NEUB 2019-33A ER2
AIMCO 2025-24A E,102.26,101.56,97.71,101.77,105.59,OAKC 2024-19A E
SIXST 2020-15A ER,100.555,101.03,97.67,101.08,101.02,OAKC 2016-13A ER2
JTWN 2021-16A ER,95.635,94.22,93.2,99.42,93.67,JTWN 2022-18A E
REG30 2024-4A E,93.0,93.78,93.48,99.08,93.97,
BRTPT 2023-1A ER,101.5,101.61,97.62,102.77,102.27,
NEUB 2021-40A ER,100.355,99.03,97.41,100.58,101.01,REG24 2021-5A ER
AGL 2022-23A ER,95.0,97.71,95.36,100.64,94.97,BGCLO 2021-3A ER
RAD 2021-12A DR,99.75,99.59,95.64,100.78,99.29,BABSN 2020-4A ER
MDPK 2022-62A ER2,100.655,100.4,94.78,101.5,98.16,
SCUL 26A ER,99.0,97.62,94.36,100.16,97.11,
SHACK 2013-4RA D,98.75,98.59,95.02,100.57,100.03,ROCKT 2017-3A E
LAKPK 2025-1A E,99.961,99.48,97.29,101.67,100.16,HLM 2025-24A E
DRSLF 2015-40A ER,85.777,81.97,77.67,99.6,86.99,
KKR 36A E,94.65,94.03,90.16,99.52,94.72,KKR 33A E
OCT18 2018-18A D,84.0,80.06,78.41,98.54,81.68,
AIMCO 2024-19A E,99.75,98.24,94.93,100.22,98.36,SYMP 2025-48A E
PXLY 2024-1A E,93.772,95.56,94.37,99.48,93.59,
VOYA 2023-1A ER,99.55,99.49,96.93,101.06,99.24,OCT75 2025-1A E
WBOX 2020-2A E1R2,98.08,98.88,95.99,100.39,98.84,
OAKC 2018-1A ER,99.78,98.46,94.05,99.23,96.86,
INVCO 2022-2A ER,95.567,96.65,93.25,99.76,94.31,BCC 2020-5A ERR
BSP 2021-23A ER,98.2,96.92,93.84,99.17,97.21,BSP 2021-25A ER
MDPK 2019-34A ERR,96.0,95.7,93.86,99.8,93.74,MDPK 2022-60A ER
PLMRS 2022-3A ER,96.67,95.94,94.03,99.36,96.33,ARES 2023-ALF4A ER
RAD 2022-16A ER,99.267,99.08,96.77,100.68,97.03,OAKCL 2019-4A ERR
ELM39 2025-2A E1,100.54,100.41,97.11,101.82,102.72,
JTWN 2020-15A ER,95.37,94.05,92.02,99.0,93.5,
ELM26 2024-1A E,101.57,101.55,97.72,102.17,103.62,
DRSLF 2022-109A ER,93.75,94.43,93.25,98.8,93.85,CBAMR 2021-15A ER
OAKCL 2022-2A ER2,97.47,96.59,93.84,98.8,94.11,OAKCL 2022-2A ER2
VOYA 2025-1A E,100.767,100.14,97.07,101.7,101.45,
NEUB 2018-27A ER,101.339,100.62,96.69,100.86,100.99,NEUB 2017-25A ER2
STKPK 2022-1A ER,85.388,86.9,86.03,98.49,88.13,BRMTN 2022-1A ER
