Bloomberg ID,Actual Spread,Predicted Spread,Lower (95%),Upper (95%),Baseline (Ridge),Top Comp
BGCLO 2024-8A E,101.551,104.51,98.48,110.55,104.51,
TRNTS 2019-11A ER,71.0,87.11,81.08,93.15,87.11,
NEUB 2017-16SA ER2,99.235,98.54,92.51,104.58,98.54,
AIMCO 2025-24A E,102.26,106.08,100.05,112.12,106.08,OAKC 2024-19A E
SIXST 2020-15A ER,100.555,101.27,95.23,107.3,101.27,OAKC 2016-13A ER2
JTWN 2021-16A ER,95.635,93.53,87.5,99.57,93.53,JTWN 2022-18A E
REG30 2024-4A E,93.0,94.09,88.05,100.13,94.09,
BRTPT 2023-1A ER,101.5,101.82,95.79,107.86,101.82,PPMC 2024-7A E
NEUB 2021-40A ER,100.355,100.99,94.96,107.03,100.99,REG24 2021-5A ER
AGL 2022-23A ER,95.0,94.69,88.65,100.73,94.69,BGCLO 2021-3A ER
RAD 2021-12A DR,99.75,98.92,92.88,104.96,98.92,BABSN 2020-4A ER
MDPK 2022-62A ER2,100.655,98.26,92.22,104.29,98.26,CANYC 2020-3A ER
SCUL 26A ER,99.0,96.91,90.88,102.95,96.91,TCW 2023-1A ER
SHACK 2013-4RA D,98.75,97.99,91.96,104.03,97.99,ROCKT 2017-3A E
LAKPK 2025-1A E,99.961,100.19,94.16,106.23,100.19,HLM 2025-24A E
DRSLF 2015-40A ER,85.777,86.55,80.51,92.58,86.55,DRSLF 2017-50A E
KKR 36A E,94.65,94.22,88.18,100.25,94.22,KKR 33A E
OCT18 2018-18A D,84.0,80.28,74.24,86.31,80.28,
AIMCO 2024-19A E,99.75,98.24,92.2,104.27,98.24,SYMP 2025-48A E
PXLY 2024-1A E,93.772,93.34,87.3,99.38,93.34,BSP 2016-10A DR3
VOYA 2023-1A ER,99.55,99.16,93.13,105.2,99.16,OCT75 2025-1A E
WBOX 2020-2A E1R2,98.08,98.5,92.46,104.53,98.5,BSP 2016-10A DR3
OAKC 2018-1A ER,99.78,96.64,90.6,102.67,96.64,OAKC 2022-11A ER
INVCO 2022-2A ER,95.567,95.02,88.98,101.05,95.02,
BSP 2021-23A ER,98.2,97.25,91.22,103.29,97.25,BSP 2021-25A ER
MDPK 2019-34A ERR,96.0,94.49,88.45,100.52,94.49,MDPK 2022-60A ER
PLMRS 2022-3A ER,96.67,96.52,90.49,102.56,96.52,
RAD 2022-16A ER,99.267,96.6,90.57,102.64,96.6,OAKCL 2019-4A ERR
ELM39 2025-2A E1,100.54,102.42,96.38,108.46,102.42,ELMW9 2021-2A ER
JTWN 2020-15A ER,95.37,93.35,87.31,99.38,93.35,OCT71 2024-1A E
ELM26 2024-1A E,101.57,103.8,97.76,109.84,103.8,CIFC 2022-5A ER
DRSLF 2022-109A ER,93.75,93.1,87.07,99.14,93.1,CBAMR 2021-15A ER
