feature,Ridge (norm coef),XGBoost (gain),Agreement
MVOC,0.0579,0.3857,~
MVOC (w/o X),0.0899,0.2162,✓
Junior OC,0.0,0.0953,~
Palmer Square Price Index,0.0,0.0686,~
LSTA 100 Index,0.0528,0.0347,✓
% <80,0.1172,0.033,~
Equity NAV,0.0,0.0234,~
Palmer Square DM Index,0.0,0.0232,~
LSTA Index,0.0289,0.0164,~
Deal WACC,0.0894,0.0121,~
Attach,0.0956,0.0096,~
Thickness,0.0297,0.0092,✓
% <50,0.0,0.0076,~
VIX,0.0,0.0075,~
Spread,0.0942,0.0075,~
Manager Discount,0.0298,0.0,~
NC Yrs left,0.0284,0.0,~
HY CDX,0.0342,0.0,~
Excess Spread,0.0393,0.0,~
RP Yrs left,0.0509,0.0,~
% CCC,0.0507,0.0,~
